hh_ID,door_screens,house_type,concrete_house,water_supply_by_pipe,garbage_management,n_toilets_outside
246,0,Single,1,1,Burn,1
247,0,Poles,1,1,Burn,1
248,0,Single,1,1,Car,0
249,0,Poles,1,1,Burn,1
250,0,Single,1,1,Car,1
251,0,Single,0,1,Car,0
252,0,Poles,1,1,Car,1
253,0,Single,1,1,Burn,0
254,0,Single,1,1,Burn,1
255,0,Poles,0,1,Burn,1
256,0,Single,1,1,Burn,0
257,0,Single,1,Unknown,Car,0
258,1,Single,1,1,Burn,0
259,1,Single,1,1,Car,1
260,0,Single,1,1,Burn,0
261,0,Single,1,1,Burn,1
262,0,Single,1,Unknown,Burn,0
263,0,Poles,0,Unknown,Burn,1
264,0,Single,1,Unknown,Burn,0
265,0,Poles,0,Unknown,Burn,1
266,0,Single,1,Unknown,Burn,1
267,0,Poles,0,Unknown,Burn,1
268,0,Single,1,1,Burn,0
269,1,Single,1,1,Car,0
270,0,Single,1,1,Car,0
271,0,Single,0,1,Burn,2
272,0,Single,0,1,Burn,0
273,0,Single,1,1,Burn,0
274,1,Single,1,1,Burn,1
275,1,Townhouse,1,1,Car,0
276,1,Townhouse,1,1,Dump,0
277,0,Single,1,1,Burn,1
278,0,Poles,0,1,Car,1
279,0,Poles,1,1,Car,0
280,0,Single,1,1,Car,0
281,0,Poles,0,1,Car,1
282,0,Single,0,1,Car,1
283,0,Single,1,1,Car,1
284,0,Poles,0,1,Car,1
285,0,Single,1,1,Car,1
286,0,Poles,0,1,Car,1
287,0,Poles,1,1,Car,0
288,0,Single,1,1,Car,0
289,0,Single,1,Unknown,Burn,1
290,0,Single,1,Unknown,Car,1
291,0,Poles,0,1,Car,1
292,0,Single,1,1,Car,0
293,1,Single,1,1,Car,0
294,0,Poles,0,1,Burn,1
295,0,Single,1,1,Burn,1
296,0,Poles,0,1,Burn,1
297,0,Single,1,1,Burn,1
298,1,Poles,1,1,Car,0
299,0,Single,0,1,Car,1
300,1,Single,1,1,Car,0
301,0,Single,1,1,Burn,0
302,0,Townhouse,1,1,Car,0
303,0,Single,1,1,Car,0
304,0,Single,1,Unknown,Burn,0
305,0,Single,1,1,Car,0
306,0,Poles,0,1,Car,1
307,0,Single,1,1,Car,0
308,0,Poles,0,1,Car,1
309,0,Single,1,1,Burn,0
310,1,Single,1,1,Burn,2
311,0,Poles,0,1,Car,2
312,1,Single,1,1,Car,1
313,0,Poles,0,0,Burn,1
314,0,Single,1,0,Burn,0
315,0,Single,1,1,Burn,0
316,1,Single,1,1,Burn,1
317,0,Single,1,1,Burn,0
318,0,Poles,1,1,Burn,1
319,0,Single,1,1,Burn,0
320,0,Single,1,1,Car,0
321,0,Poles,0,1,Burn,0
322,0,Single,1,1,Burn,0
323,0,Poles,0,1,Burn,1
324,0,Single,1,1,Burn,0
325,0,Single,0,1,Burn,2
326,0,Single,1,1,Burn,2
327,0,Single,1,1,Burn,0
328,1,Townhouse,1,1,Car,0
329,0,Poles,0,1,Car,0
330,0,Single,1,1,Car,1
331,1,Single,1,1,Burn,1
332,0,Single,1,1,Burn,1
333,1,Poles,1,1,Burn,1
334,0,Single,1,Unknown,Burn,2
335,0,Poles,1,1,Car,0
336,0,Single,0,1,Car,0
337,0,Single,1,1,Burn,1
338,1,Single,1,1,Burn,0
339,0,Single,1,1,Burn,1
340,0,Single,1,1,Burn,0
341,1,Single,1,1,Burn,0
342,0,Single,1,1,Burn,0
343,1,Single,1,1,Burn,0
