measure_name,location_name,fips,race_name,sex_name,age_name,cause_name,year,metric_name,val,upper,lower
Deaths,Mariposa County,6043,AIAN,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Mariposa County,6043,API,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Mendocino County,6045,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Mendocino County,6045,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Mendocino County,6045,Black,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Mendocino County,6045,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Mendocino County,6045,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Mendocino County,6045,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Merced County,6047,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Merced County,6047,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Merced County,6047,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Merced County,6047,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Merced County,6047,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Merced County,6047,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Modoc County,6049,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Modoc County,6049,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Modoc County,6049,Black,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Modoc County,6049,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Modoc County,6049,AIAN,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Modoc County,6049,API,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Mono County,6051,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Mono County,6051,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Mono County,6051,Black,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Mono County,6051,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Mono County,6051,AIAN,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Mono County,6051,API,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Monterey County,6053,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
